# ----------------------------------------
# Acq for Claude
# Account: New Jersey
# Property: Business First Stop - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260309
First user primary channel group (Default Channel Group),Total users,New users,Returning users,Average engagement time per active user,Engaged sessions per active user,Event count,Key events,User key event rate
Paid Search,1720473,1698498,199376,29.975486711097258,0.43075668589346233,13615324,24249,0.008150667100933089
Direct,1680075,1324584,285902,120.58813084067084,0.8207619272646614,31042771,38353,0.013086960295493342
Organic Search,955436,891864,232536,120.95303974486845,1.008720905867858,17405951,21837,0.012757625030382781
Referral,321568,296467,57020,89.82855762487337,0.7964186082755397,3820612,2406,0.004326346138860749
Organic Social,154432,151705,5743,8.544345898004435,0.2690512311821683,688858,514,0.002457177681824665
Email,58254,55043,8355,57.24285886257717,0.6830384013482605,524693,351,0.003473834459749953
Display,30692,30686,2013,13.924516002868131,0.48383416987158595,246599,2265,0.03673163418290855
Cross-network,21504,21629,2287,30.580836090786224,0.4349629491541222,202281,739,0.018781749545602834
Paid Social,10841,10762,323,10.558418767895077,0.23256673131984854,45354,1,0.00009236168837166343
Unassigned,8804,8269,2100,144.5005688282139,1.055858930602958,239258,353,0.025142207053469853
Organic Shopping,2121,2099,114,28.53983969825554,0.2296086751532296,23622,95,0.03253182461103253
Organic Video,1790,1734,206,71.65195530726257,0.4273743016759777,16448,4,0.0016759776536312849
Paid Video,318,318,26,16.71069182389937,0.3490566037735849,1866,0,0
Paid Other,75,75,9,10.413333333333334,0.4533333333333333,591,2,0.013333333333333334
