# ----------------------------------------
# Traffic Acq for Claude
# Account: New Jersey
# Property: Business First Stop - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260309
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue,Active users,Total users
Paid Search,2303993,752168,0.326462797413013,23.547693504277138,6.166344255386193,14207214,26795,0.007949676930442063,0,1749282,1759484
Direct,2010032,1132276,0.5633124248768179,69.17729717735837,11.802065837757807,23722530,33203,0.01101126748230874,0,1491391,1514267
Organic Search,1727665,1042665,0.6035110973481549,71.44734366905621,10.956688362616596,18929487,22890,0.008648088605140464,0,1048089,1054675
Referral,658734,358661,0.5444701503186415,70.2888510385072,8.879986458874143,5849549,3498,0.003486991714409762,0,401710,409888
Unassigned,220397,33131,0.15032418771580375,147.32384742079066,14.415722537058127,3177182,623,0.001901114806462883,0,192980,194622
Organic Social,175614,44640,0.2541938569817896,9.343053515095608,4.302481578917399,755576,537,0.0023802202557882627,0,155879,156340
Email,90832,46225,0.5089065527567377,48.168464858199755,7.636790998766954,693665,537,0.003732164875814691,0,64765,65491
Display,35254,15074,0.4275826856526919,12.267146990412435,7.092329948374653,250033,2314,0.0384637204288875,0,30949,31108
Cross-network,27108,9424,0.3476464512321086,23.947358713294967,7.194960897152132,195041,685,0.015641139147115242,0,21910,22259
Paid Social,12239,2626,0.2145600130729635,9.873600784377809,3.7941825312525532,46437,1,0.00008170602173380178,0,10957,11104
Organic Video,2871,984,0.34273772204806685,62.60118425635667,7.14977359804946,20527,2,0.00034831069313827936,0,2061,2085
Organic Shopping,2525,550,0.21782178217821782,35.11049504950495,10.711683168316831,27047,96,0.0297029702970297,0,2202,2209
Paid Video,497,145,0.2917505030181087,13.11066398390342,4.54728370221328,2260,0,0,0,395,419
Paid Other,117,44,0.37606837606837606,17.495726495726494,8.752136752136753,1024,5,0.03418803418803419,0,84,90
