# ----------------------------------------
# Business First Stop - GA4
# Untitled exploration-Free form 1
# 20230505-20260309
# ----------------------------------------

Session default channel group,Direct,Direct,Organic Search,Organic Search,Paid Search,Paid Search,Referral,Referral,Unassigned,Unassigned,Totals,Totals
Page path and screen class,Sessions,Active users,Sessions,Active users,Sessions,Active users,Sessions,Active users,Sessions,Active users,Sessions,Active users
,2010852,1492417,1729466,1048660,2303993,1749591,659154,401810,219982,192292,7274915,4927606,Grand total
/,1053733,834804,401506,296035,1455446,1169417,144884,107625,123845,116060,3393054,2657960
/onboarding,304558,279576,222500,182151,85972,74607,57726,50553,110777,107245,787594,676121
/dashboard,288736,216988,207982,148511,75956,58891,91616,55209,93755,83076,760107,509757
/pages/register-your-business,188630,149441,348125,254454,82881,65675,80641,61470,11154,10452,706891,515798
/pages/government-contracting,13729,11128,21870,16875,264506,210669,8769,6819,1415,1281,337655,268602
/pages/filings-and-accounting,97575,68477,156857,114699,37243,28270,29464,21287,1552,1488,323729,236621
/funding,24172,18835,32053,24784,206728,162840,9298,6929,2204,1924,278903,218615
/tasks/business-structure,84813,74346,70791,61411,27613,24291,21807,18299,33691,31774,247167,197954
/licensing-and-certification-guide,81099,69290,78420,64187,43234,36931,27113,21820,1809,1741,237443,189508
/login,141358,104721,69817,49910,24212,19008,13988,8536,1578,1302,255481,175118
/account-setup,74928,70093,59278,53467,20411,18557,13613,12656,26606,25496,194596,177742
/tasks/form-business-entity,82852,62186,64957,48163,26110,19652,40291,25106,28055,25519,245792,159257
/pages/business-names,65889,55097,90825,70894,45902,36388,22102,16329,2658,2573,234109,174853
/loading,93174,80545,55104,47913,21308,19124,17872,15133,2175,2072,189225,159431
/tasks/naics-code-determination,64464,56184,55831,47259,18634,16252,21541,16843,25960,24957,188501,152339
/profile,73638,56574,40481,30586,15811,12402,29265,18331,20461,18216,181408,125181
/start,85160,72715,33325,26766,23724,21298,12719,10296,1170,1108,162684,128471
/pages/register-for-taxes,35064,28070,85338,61800,17728,14294,22003,17133,2409,2322,162211,120986
/pages/closing-your-business,27935,20497,97540,63325,38920,27368,16613,11499,673,600,182967,119142
/search,75559,66578,26576,22569,24713,21579,9462,7792,834,790,140689,117011
/starter-kits,39078,34692,14584,12337,70633,60508,6645,5020,1329,1296,137468,115789
/topics,86807,74524,26891,21071,4754,3818,9808,7465,4628,4675,136632,111340
/tasks/business-plan,39634,32366,32231,26499,15266,12837,12984,10197,13299,12672,113450,88928
/pages/out-of-state-business-registration,30126,23296,71974,48364,4145,3417,18655,13506,1882,1795,126771,86880
/tasks/ein-registration,30285,25535,25394,19648,10337,7993,27814,16289,11762,10979,106915,67868
/category/start,70516,60111,10123,7598,5179,4096,8583,6596,1068,1062,95377,76976
/search-results,41600,39229,21956,20069,11551,10711,7403,6640,851,840,86200,77239
/tasks/tax-registration,29150,22520,23655,16535,9083,6483,35289,18300,10349,9234,108589,60321
/pages/covid19,10614,9905,4417,3829,1443,1328,56293,55101,76,65,73098,70185
/pages/choose-a-business-structure,26722,21601,27548,21323,16085,12994,8484,6595,970,935,80009,62927
/pages/certifications,15791,11160,37387,21836,25325,16188,16832,11381,601,557,97336,59686
/recent,29755,26262,18704,16237,7169,6379,7474,5997,694,666,74907,61419
/tasks/reseller,20411,18263,16776,15128,5055,4558,8249,6798,10407,9896,61806,51780
/pages/mwbe,10131,7931,52248,35118,3084,2463,10897,7789,409,360,77334,52689
/pages/create-a-business-plan,22468,17210,16288,11929,20552,15891,7219,5054,976,944,70379,50499
/pages/employer-requirements,7705,6483,16744,13814,19775,17256,6514,5286,225,213,50523,42437
/operate,28516,24237,9428,8040,5630,4960,4419,3514,396,379,49942,40937
/plan,18721,17073,10106,8551,10822,9586,4439,3425,561,520,45970,39456
/pages/finance-your-business,17709,15639,10171,8342,7618,6523,4337,3565,486,435,42449,36586
/tasks/open-bank-account,11974,10279,9777,8089,3501,2908,16485,10723,4245,3979,46146,32359
/pages/business-support,6193,5443,6759,5520,24761,21067,3700,2800,363,351,41864,35038
/navigator,14516,12827,14984,13144,3212,2881,2300,1776,3312,3309,40169,34132
/navigator.business.nj.gov/,8264,7054,6649,5465,1092,960,6427,3145,17590,17313,40922,31076
/tasks/register-for-taxes,17963,13032,16082,10942,1750,1478,7519,4750,3778,3346,46954,30256
/pages/building-permits-and-inspections,3061,2601,25658,22025,372,318,5720,4927,119,111,34765,29635
/actions/registry-update-brc-amendment,14545,11174,8202,6523,4085,3362,3465,2747,5797,5273,35858,27375
/small-business-improvement-grant/,15131,11122,17970,13092,0,0,3842,2894,196,161,38250,27421
/contact-us,11694,9303,15582,12134,3164,2521,4378,3294,191,177,34996,27196
/starter-kits/food-truck,3391,2726,23027,17635,646,571,6428,5047,342,309,33835,26309
/unsupported,9861,8862,10993,9482,842,780,2061,1945,5157,5073,28619,25658
/es,1253,1103,954,837,892,823,203,130,76,73,28616,25748
/tasks/undefined,9157,9261,7983,7581,321,320,5270,4432,3933,3901,26946,24252
/pages/trademarks,5994,4784,16084,11431,5069,3974,3680,2656,359,336,33277,24009
/tasks/insurance-policy,7304,6508,6003,5020,2304,2007,9322,6599,2817,2720,27178,21158
/financing-and-incentives/,19921,13537,9715,5539,0,0,3201,1824,127,110,33157,20724
/tasks/form-business-entity-foreign,8812,6095,9471,6353,686,550,4507,2818,2924,2586,26543,15657
/main-street-acquisition-support-grant/,18117,14854,1498,981,0,0,968,678,96,66,22125,17923
/careers/,7671,6607,4678,3781,0,0,8819,5697,98,88,22791,17256
/tasks/trade-name-registration,6320,4989,7202,5617,3382,2652,2045,1546,2825,2661,21418,16341
/pages/sbe,2558,2093,16521,11873,1117,937,3055,2359,142,126,23463,16824
/tasks/location-eval,5757,5246,6117,5325,1760,1619,2788,2290,2589,2497,19447,15953
/pages/hiring-employees,4662,3845,9877,7583,3085,2712,2690,2063,204,200,21225,16883
/grow,7793,6988,2994,2572,3282,2919,1591,1298,249,233,17269,14645
/smallbusinessservices/,9150,7090,6519,5060,0,0,1082,756,123,103,16806,13019
/pages/select-a-location,4286,3664,5543,4770,2802,2442,1987,1610,235,225,15291,12718
/bidding/,7770,5652,7357,5987,0,0,980,599,65,43,16356,12247
/newsletter-signup,10280,10137,750,682,700,646,378,326,57,56,12718,12218
/child-care-facilities-improvement-program-phase-2/,5927,4536,878,618,0,0,9140,6863,52,40,16190,11786
/pages/buy-an-existing-business,3232,2713,4638,3922,3896,3525,1080,911,116,114,13314,11311
/tasks/search-licenses,3780,3204,3165,2612,915,794,4002,2881,1579,1491,13639,9923
/pages/contract-with-new-jersey,9424,8904,1248,1094,273,250,714,636,99,87,11917,10903
/pages/permits-and-compliance,3157,2704,5218,4258,2308,1989,1454,1140,125,120,12169,10120
/pages/limited-liability-company-llc,2055,1874,8111,7210,269,244,617,490,241,241,11439,9861
/pages/business-preparedness,3678,3289,1961,1741,3939,3610,862,713,143,141,10579,9468
/njeda,2025,1586,963,830,257,237,176,137,8547,6505,12031,9014
/certification/sbe,3958,3095,2891,2170,1567,1203,1773,1308,975,881,11394,8275
/pages/market-your-business,1804,1525,1530,1256,3621,3210,653,493,90,89,10489,8686
/about/,5988,5228,3680,2951,0,0,392,300,39,37,10054,8432
/small-business-lease-grant-program/,6823,4824,3679,2294,0,0,1245,877,63,45,12182,8196
/smallbusinessfund/,3939,3424,5018,4153,0,0,710,538,81,72,9803,8084
/pages/vob-dvob,2023,1654,6301,4627,367,271,1364,1078,58,52,10318,7511
/es/pages/register-your-business,1197,958,6815,5038,592,526,1160,969,151,137,10022,7423
/tasks/certificate-good-standing-foreign,3586,2739,3624,2656,197,168,1126,817,1252,1143,9807,6768
/workfromnj/,3673,3057,328,317,1,0,2453,2274,29,18,8374,7521
